rep,episode,mean,hw
0.000000000000000000e+00,0.000000000000000000e+00,-3.383952012510917484e+02,5.029230403072399724e+01
0.000000000000000000e+00,2.500000000000000000e+01,-3.557130404876232888e+02,6.152547400459307880e+01
0.000000000000000000e+00,5.000000000000000000e+01,-2.507563983519976318e+02,7.846830096361537699e+01
0.000000000000000000e+00,7.500000000000000000e+01,-2.815486369920056404e+02,5.867174014720739450e+01
0.000000000000000000e+00,1.000000000000000000e+02,-2.588201640688546945e+02,8.022540852895966168e+01
0.000000000000000000e+00,1.250000000000000000e+02,-2.895718442195113767e+02,7.524861489525473246e+01
0.000000000000000000e+00,1.500000000000000000e+02,-2.541885113953756559e+02,6.156717467471927563e+01
0.000000000000000000e+00,1.750000000000000000e+02,-2.238294421032535695e+02,8.062378991831640462e+01
0.000000000000000000e+00,2.000000000000000000e+02,-2.447979055842987464e+02,8.504730419347387738e+01
0.000000000000000000e+00,2.250000000000000000e+02,-1.456423045572663284e+02,5.627189080402101240e+01
0.000000000000000000e+00,2.500000000000000000e+02,-1.180899802982700493e+02,4.277308029028416314e+01
0.000000000000000000e+00,2.750000000000000000e+02,-1.283075440272864114e+02,4.880969215563159480e+01
0.000000000000000000e+00,3.000000000000000000e+02,-2.220726771702196061e+02,6.369254690568884314e+01
0.000000000000000000e+00,3.250000000000000000e+02,-1.305319414063200441e+02,5.853849697121264484e+01
0.000000000000000000e+00,3.500000000000000000e+02,-1.583873987351874462e+02,5.670006729233088549e+01
0.000000000000000000e+00,3.750000000000000000e+02,-2.342110914211011448e+02,9.013854712894080023e+01
0.000000000000000000e+00,4.000000000000000000e+02,-1.920724007751131239e+02,7.525942374931439360e+01
0.000000000000000000e+00,4.250000000000000000e+02,-1.103983663082146336e+02,3.797333004998945682e+01
0.000000000000000000e+00,4.500000000000000000e+02,-1.536492214114098545e+02,5.614195871462731446e+01
0.000000000000000000e+00,4.750000000000000000e+02,-1.713848194290657716e+02,4.811978824539437483e+01
0.000000000000000000e+00,5.000000000000000000e+02,-2.114559171959088246e+02,7.604695313878299601e+01
1.000000000000000000e+00,0.000000000000000000e+00,-2.051523377898905949e+02,5.383786338197755583e+01
1.000000000000000000e+00,2.500000000000000000e+01,-4.733750835067123148e+02,7.244718485650214745e+01
1.000000000000000000e+00,5.000000000000000000e+01,-4.112628443140720265e+02,7.106087193609742769e+01
1.000000000000000000e+00,7.500000000000000000e+01,-3.042321501809094002e+02,6.584232684092313548e+01
1.000000000000000000e+00,1.000000000000000000e+02,-1.666586499848618530e+02,4.427575176743533092e+01
1.000000000000000000e+00,1.250000000000000000e+02,-2.042371915060311380e+02,4.041278475374212320e+01
1.000000000000000000e+00,1.500000000000000000e+02,-2.324397863479202329e+02,4.551305378793851730e+01
1.000000000000000000e+00,1.750000000000000000e+02,-1.743993799324940426e+02,4.927343966167512690e+01
1.000000000000000000e+00,2.000000000000000000e+02,-1.200279243776118108e+02,3.666184873093818197e+01
1.000000000000000000e+00,2.250000000000000000e+02,-9.439374386746582957e+01,2.696182395417613975e+01
1.000000000000000000e+00,2.500000000000000000e+02,-8.125572596473976716e+01,2.487221870369337751e+01
1.000000000000000000e+00,2.750000000000000000e+02,-1.276704028381064404e+02,3.379387261420006183e+01
1.000000000000000000e+00,3.000000000000000000e+02,-1.006308966490874610e+02,3.611480592218794072e+01
1.000000000000000000e+00,3.250000000000000000e+02,-1.200484838254877502e+02,4.333542469975866140e+01
1.000000000000000000e+00,3.500000000000000000e+02,-1.501035629594999534e+02,5.202852050893402946e+01
1.000000000000000000e+00,3.750000000000000000e+02,-1.496873735127348084e+02,5.494485826694671005e+01
1.000000000000000000e+00,4.000000000000000000e+02,-1.403093827692320872e+02,4.488042763496414977e+01
1.000000000000000000e+00,4.250000000000000000e+02,-1.595939278953653400e+02,5.622975019953067743e+01
1.000000000000000000e+00,4.500000000000000000e+02,-2.004083379017625077e+02,5.440074091460046191e+01
1.000000000000000000e+00,4.750000000000000000e+02,-1.657996369025363492e+02,4.150983766356669236e+01
1.000000000000000000e+00,5.000000000000000000e+02,-1.571830750557773513e+02,4.808728960991835066e+01
2.000000000000000000e+00,0.000000000000000000e+00,-2.590655875029039521e+02,4.326165718304035579e+01
2.000000000000000000e+00,2.500000000000000000e+01,-4.487194341161344937e+02,9.046136482933967216e+01
2.000000000000000000e+00,5.000000000000000000e+01,-4.508899123814104541e+02,3.687797170023861071e+01
2.000000000000000000e+00,7.500000000000000000e+01,-3.527489795620857080e+02,4.171450993221757386e+01
2.000000000000000000e+00,1.000000000000000000e+02,-3.243762802974379156e+02,4.650991059940417927e+01
2.000000000000000000e+00,1.250000000000000000e+02,-2.341059287285439439e+02,6.789029660898027885e+01
2.000000000000000000e+00,1.500000000000000000e+02,-1.591733008386528070e+02,3.594565331897611316e+01
2.000000000000000000e+00,1.750000000000000000e+02,-2.220544247168717504e+02,5.196685277077649090e+01
2.000000000000000000e+00,2.000000000000000000e+02,-1.546525448931905373e+02,4.687788993455048114e+01
2.000000000000000000e+00,2.250000000000000000e+02,-1.190906620467615795e+02,4.271658928204275441e+01
2.000000000000000000e+00,2.500000000000000000e+02,-1.245425640981090112e+02,4.885886339249264410e+01
2.000000000000000000e+00,2.750000000000000000e+02,-1.193396111442789476e+02,4.739958952694764349e+01
2.000000000000000000e+00,3.000000000000000000e+02,-1.288224046735865329e+02,4.191325567922429229e+01
