Algorithm,Best Run ID,AlgScore,SP95LB (Superlative),Mean Max EETDR,Mean Time-Avg EETDR,Wallclock (s)
Semi_Grad_SARSA,2.0,95.84100447083392,221.335318341546,183.7508955082662,25.643616181243523,683.1293473789992
Lambda_SARSA,53.0,100.66603113709276,204.0532019900522,197.58226953099583,-7.931323560785954,612.6138603040017
REINFORCE,63.0,-133.23939670334852,-78.01471777826914,-86.41035735489773,-175.79278612248947,152.85930396799995
