Rank,Run Index,Sup. EETDR (Stream-3),95% HW,SP95LB
1.0,2.0,231.5764318240422,10.241113482496214,221.33531834154599
2.0,9.0,211.66402919948368,20.050811225873204,191.61321797361046
3.0,14.0,206.03566728215654,15.739407513245641,190.2962597689109
4.0,82.0,190.44504792642394,20.070290178124168,170.37475774829977
5.0,17.0,179.31880257297752,18.22806214524787,161.09074042772966
