Rank,Run Index,Alpha_a,Alpha_b,Eps_a,Eps_b,Q_Init,N_Steps,N_Tilings,S_Intervals,AlgScore,SP95LB,Mean Max EETDR,Max 95ME,Mean Time-Avg EETDR,Time-Avg 95ME,Wallclock
1.0,2.0,0.565,0.425,0.615,0.495,0.075,0.425,0.765,0.205,95.84100447083391,221.33531834154599,183.7508955082662,28.331954236371732,25.643616181243523,19.16951691200049,683.1293473789992
2.0,17.0,0.615,0.375,0.515,0.455,0.365,0.295,0.905,0.275,77.09762194157152,161.09074042772966,169.79480241585117,17.282976783199498,-16.227512818368574,19.796170776680107,987.0774542919971
3.0,14.0,0.815,0.415,0.335,0.205,0.005,0.245,0.955,0.465,68.94563521379902,190.2962597689109,168.09064903166075,19.96771634351465,-30.617320624622515,19.202990373099073,925.6928413249989
4.0,77.0,0.885,0.625,0.445,0.705,0.675,0.795,0.915,0.125,60.45990444245897,153.27346914533854,152.9574914761311,34.3081159804848,0.3585859954672614,27.182888132789277,721.256637460996
5.0,82.0,0.905,0.605,0.535,0.905,0.165,0.705,0.475,0.145,58.150885935742714,170.37475774829977,138.3637920603806,33.974325378065544,8.021777642241538,19.22876282635734,361.20323635100067
6.0,9.0,0.715,0.565,0.865,0.795,0.295,0.865,0.965,0.385,32.31017932818119,191.61321797361046,103.85063770571819,24.776546517306315,-21.612913271619618,16.222775190545203,905.1865766150004
7.0,60.0,0.695,0.325,0.405,0.835,0.345,0.315,0.855,0.415,20.81868521795725,150.5269168358837,113.17349778313485,29.16052610399347,-53.0682342556298,20.904510218189138,795.2580912029953
8.0,56.0,0.3744919827648988,0.32453431533543275,0.7581190945617364,0.7034197923016317,0.4213894766971435,0.6003716824129403,0.6895858253760311,0.5161780112624198,19.580757202833595,65.49360871469727,81.82081690875324,15.94304309397061,-38.9778257083408,10.886942006749146,417.1698195249992
9.0,36.0,0.705,0.315,0.045,0.925,0.315,0.485,0.585,0.605,18.668920234827134,139.2187824568815,99.77056826568149,26.924525993396706,-50.60446693496791,11.992295886391435,362.02042899299704
10.0,61.0,0.155,0.045,0.635,0.665,0.815,0.335,0.365,0.445,17.424978670298774,112.0761328538417,91.75980511152054,19.961864992473938,-54.87971150488413,9.254751997938836,654.0042068889961
